Area,Perimeter,Major Axis Length,Minor Axis Length,Eccentricity,Convex Area,Extent,Class
15231,525.58,229.75,85.09,0.93,15617,0.57,1
14656,494.31,206.02,91.73,0.9,15072,0.62,1
14634,501.12,214.11,87.77,0.91,14954,0.69,1
13176,458.34,193.34,87.45,0.89,13368,0.64,1
14688,507.17,211.74,89.31,0.91,15262,0.65,1
13479,477.02,200.05,86.65,0.9,13786,0.66,1
15757,509.28,207.3,98.34,0.88,16150,0.59,1
16405,526.57,221.61,95.44,0.9,16837,0.66,1
14534,483.64,196.65,95.05,0.88,14932,0.65,1
13485,471.57,198.27,87.73,0.9,13734,0.57,1
14930,499.92,212.25,90.02,0.91,15248,0.62,1
14626,496.59,204.53,92.97,0.89,15070,0.57,1
15926,522.74,225.74,91.06,0.92,16240,0.78,1
14076,479.68,199.49,90.71,0.89,14434,0.78,1
13500,476.92,202.55,85.41,0.91,13800,0.72,1
14349,496.95,213.54,86.16,0.91,14678,0.67,1
15209,496.57,214.05,91.03,0.91,15395,0.57,1
15238,496.87,208.53,93.83,0.89,15487,0.73,1
13509,480.47,207.14,83.94,0.91,13732,0.6,1
13699,480.73,197.97,89.95,0.89,14178,0.67,1
13921,481.99,203.44,88.13,0.9,14210,0.56,1
14405,488.24,204.43,90.63,0.9,14742,0.76,1
13377,472.96,199.94,86.68,0.9,13685,0.79,1
15043,498.3,206.01,94.77,0.89,15414,0.59,1
14590,496.17,212.1,88.6,0.91,14883,0.57,1
13237,466,197.9,85.71,0.9,13445,0.59,1
16226,524.21,216.87,96.65,0.9,16748,0.65,1
13203,469.47,199.34,85.39,0.9,13431,0.6,1
13328,473.04,201.4,85.26,0.91,13588,0.78,1
14945,493.11,202.05,95.08,0.88,15357,0.74,1
13130,467.92,196.15,86.21,0.9,13462,0.57,1
13414,479.9,203.09,85.74,0.91,13735,0.71,1
16104,507.43,206.07,100.75,0.87,16457,0.61,1
11827,455.22,194.78,78.43,0.92,12212,0.77,1
14479,475.92,200.55,92.18,0.89,14696,0.71,1
14306,482.25,197.69,94.06,0.88,14667,0.59,1
14415,488.12,203.59,91.03,0.89,14758,0.67,1
14415,490.07,206.54,90.02,0.9,14671,0.65,1
14524,480.21,199.93,93.31,0.88,14808,0.61,1
13780,497.43,221.72,79.95,0.93,14010,0.55,1
12768,464.82,195.39,84.36,0.9,13085,0.58,1
13047,486.37,213.19,79.29,0.93,13621,0.62,1
14456,492.95,212.41,87.36,0.91,14726,0.8,1
13973,474.01,192.35,93.78,0.87,14354,0.61,1
13858,482.58,205.02,86.96,0.91,14154,0.56,1
13148,481.72,201.52,84.54,0.91,13572,0.62,1
12792,462.07,194.48,84.73,0.9,13032,0.59,1
15778,515.27,214.04,95.5,0.89,16283,0.69,1
15404,509.52,217.3,91.4,0.91,15696,0.63,1
14911,494.09,207.56,92.41,0.9,15132,0.6,1
15360,504.23,210.39,94.74,0.89,15751,0.76,1
15746,503.23,204.87,99.45,0.87,16171,0.75,1
14304,489.04,211.03,86.84,0.91,14483,0.58,1
